id,present_in_first_screening,claude_decision,claude_reason,codex_decision,codex_reason,gemini_decision,gemini_reason,human_decision,human_reason
265,no,exclude,"EC1 — this paper is about computational science and engineering education broadly, with no focus on environmental impacts of HPC systems.",exclude,"The paper discusses CSE education, workforce needs, HPC, and software sustainability in the sense of research/education infrastructure, but it does not address environmental impacts of HPC or methods to measure or predict them.",exclude,"The paper focuses on education and research in computational science and engineering, and does not address the environmental impacts of high-performance computing.",,
266,no,exclude,"EC1/EC2 — the paper focuses on garbage collection and execution time optimization in Java, with no connection to environmental impacts such as carbon emissions, water use, or material depletion.",exclude,"The paper is about garbage collection tuning for performance and memory footprint in Java applications, not about environmental impacts of HPC systems.",exclude,"The paper focuses on optimizing Java garbage collection for execution time and memory footprint, but does not address environmental impacts.",,
267,no,exclude,EC1 — the paper uses HPC as a computational tool for ecological network modeling but does not address environmental impacts of HPC systems.,exclude,The paper uses high-performance computing as a tool for ecological modeling but does not address environmental impacts of HPC systems or methods to assess them.,exclude,The paper uses high-performance computing to model ecological networks rather than addressing the environmental impacts of the computing systems themselves.,,
268,yes,exclude,"EC1/EC2 — the paper addresses distributed grid computing and semiconductor simulation; ""sustainable"" in the title refers to sustained/stable execution, not environmental sustainability, and there is no discussion of environmental impacts or carbon/water/material considerations.",exclude,"The paper is about distributed Grid supercomputing for semiconductor simulations and resource management, not about measuring, predicting, or discussing environmental impacts of HPC systems.",exclude,The paper focuses on a grid supercomputing framework for simulating semiconductor processing and does not address the environmental impacts of high-performance computing.,exclude,EC1
269,no,include,"The paper addresses energy consumption visualization in an HPC context (National Center for Supercomputing Applications), which connects to environmental impact awareness and curtailment.",exclude,The paper concerns an art-based visualization of electricity use at a supercomputing center but focuses only on energy consumption and behavior change without addressing broader environmental impacts of HPC systems.,exclude,"The paper focuses solely on energy consumption and electricity usage without connecting to broader environmental impacts, meeting exclusion criterion EC2.",,
270,yes,exclude,"EC1 — the paper addresses HPC data staging and offloading logistics, with no connection to environmental impacts such as energy consumption, carbon emissions, or resource depletion.",exclude,"The paper concerns HPC data offloading performance and storage/resource management, with no discussion of environmental impacts or methods to measure/predict them.",exclude,The paper focuses on data staging and offloading management in HPC centers and does not address any environmental impacts.,exclude,EC1
271,no,include,"The title explicitly references sustainable HPC infrastructures, suggesting environmental impact considerations in the context of supercomputers, grids, and clouds.",include,"With no abstract available, the title suggests the paper may address sustainability in the HPC context, so it should be included for full-text screening.",include,"The title indicates a focus on sustainable HPC infrastructures, and without an abstract to rule it out, the inclusion rule for uncertainty applies.",,
272,no,exclude,"The paper focuses on pricing and policy mechanisms for web services in an HPC context, with no connection to environmental impacts such as energy consumption, carbon emissions, or resource depletion.",exclude,"The paper is about temporal pricing policies for web services with an HPC pricing use case, not about measuring or addressing environmental impacts of HPC.",exclude,"The paper focuses on dynamic pricing models and temporal policies for resource consumption in web services and HPC, without addressing any environmental impacts.",,
273,yes,include,"The paper discusses power consumption challenges for exascale HPC systems, which connects to environmental impacts (EC2 does not apply as the energy concern is framed in the context of sustainability and broader implications).",exclude,"The abstract discusses exascale HPC challenges with a focus on power consumption and system design, but it does not address broader environmental impacts or methods for assessing them.",exclude,"The paper discusses power consumption challenges for exascale systems but does not connect this energy use to broader environmental impacts, meeting exclusion criterion EC2.",exclude,EC2
274,no,exclude,"EC1/EC2 — the paper addresses HPC-based coastal simulation data management, with no connection to environmental impacts of HPC systems themselves.",exclude,The paper uses supercomputers for coastal science data management but does not address environmental impacts of HPC systems or methods to measure or predict them.,exclude,The paper focuses on designing a simulation data archive for coastal science and does not address the environmental impacts of HPC systems.,,
275,yes,exclude,"EC1/EC2 — the paper uses HPC as a computational tool to optimize building energy efficiency, but does not address the environmental impacts of HPC systems themselves.",exclude,The paper uses HPC as a computational tool for building energy modeling rather than addressing environmental impacts of HPC systems themselves.,error,"Error when talking to Gemini API Full report available at: /var/folders/51/jprn1_6j1ysbtv0m638dh5g00000gn/T/gemini-client-error-Turn.run-sendMessageStream-2026-04-11T11-17-21-240Z.json TerminalQuotaError: You have exhausted your capacity on this model. Your quota will reset after 9h10m31s.
    at cl",exclude,EC1
276,yes,exclude,"This paper is about using HPC for power systems management, not about the environmental impacts of HPC itself (EC1).",exclude,"The paper discusses applying HPC to power systems with sustainability as an external objective, but it does not address environmental impacts of HPC systems themselves or methods to measure/predict them.",error,"Error when talking to Gemini API Full report available at: /var/folders/51/jprn1_6j1ysbtv0m638dh5g00000gn/T/gemini-client-error-Turn.run-sendMessageStream-2026-04-11T11-17-24-418Z.json TerminalQuotaError: You have exhausted your capacity on this model. Your quota will reset after 9h10m28s.
    at cl",exclude,EC1
277,yes,exclude,"EC1 — the paper focuses on RDMA networking performance and CPU efficiency in cloud/HPC environments, with no connection to environmental impacts.",exclude,"The paper focuses on cloud/HPC networking performance and CPU efficiency via RDMA, without addressing environmental impacts or methodologies for assessing them.",error,"Error when talking to Gemini API Full report available at: /var/folders/51/jprn1_6j1ysbtv0m638dh5g00000gn/T/gemini-client-error-Turn.run-sendMessageStream-2026-04-11T11-17-29-402Z.json TerminalQuotaError: You have exhausted your capacity on this model. Your quota will reset after 9h10m23s.
    at cl",exclude,EC1
278,yes,include,"The paper mentions reducing the eco footprint of the HPC simulator, connecting HPC usage to environmental impact considerations (IC1/IC2).",include,"The abstract explicitly mentions reducing the simulator's eco footprint in an HPC context, so it is at least potentially relevant to environmental impacts and should be included when uncertain.",error,"Error when talking to Gemini API Full report available at: /var/folders/51/jprn1_6j1ysbtv0m638dh5g00000gn/T/gemini-client-error-Turn.run-sendMessageStream-2026-04-11T11-17-31-085Z.json TerminalQuotaError: You have exhausted your capacity on this model. Your quota will reset after 9h10m21s.
    at cl",exclude,EC1
279,no,exclude,"EC2 — the paper describes the Blue Gene/Q architecture with mentions of power efficiency, but does not connect energy concerns to broader environmental impacts such as carbon emissions, water use, or material depletion.",exclude,"The paper focuses on HPC system architecture and performance/reliability, with only brief mention of power efficiency and no treatment of broader environmental impacts or methods to assess them.",error,"Error when talking to Gemini API Full report available at: /var/folders/51/jprn1_6j1ysbtv0m638dh5g00000gn/T/gemini-client-error-Turn.run-sendMessageStream-2026-04-11T11-17-34-256Z.json TerminalQuotaError: You have exhausted your capacity on this model. Your quota will reset after 9h10m18s.
    at cl",,
280,no,exclude,"This paper focuses on OS resilience to soft memory errors in HPC systems, which is a reliability/fault-tolerance topic with no connection to environmental impacts such as carbon emissions, energy consumption, water use, or material depletion.",exclude,"The paper focuses on reliability and memory error resilience in HPC operating systems, without addressing environmental impacts or methods for measuring/predicting them.",error,"Error when talking to Gemini API Full report available at: /var/folders/51/jprn1_6j1ysbtv0m638dh5g00000gn/T/gemini-client-error-Turn.run-sendMessageStream-2026-04-11T11-17-36-384Z.json TerminalQuotaError: You have exhausted your capacity on this model. Your quota will reset after 9h10m16s.
    at cl",,
281,no,exclude,"EC1 — the paper describes a science gateway for phylogenetic research on HPC resources, with no discussion of environmental impacts such as energy consumption, carbon emissions, or resource sustainability.",exclude,"The paper discusses access, usage management, and scientific impact of HPC resources for phylogenetics, but it does not address environmental impacts or methods to measure/predict them.",error,"Error when talking to Gemini API Full report available at: /var/folders/51/jprn1_6j1ysbtv0m638dh5g00000gn/T/gemini-client-error-Turn.run-sendMessageStream-2026-04-11T11-17-40-046Z.json TerminalQuotaError: You have exhausted your capacity on this model. Your quota will reset after 9h10m12s.
    at cl",,
282,no,exclude,"EC1 — the paper analyzes user behavior and resource consumption patterns in XSEDE, with no connection to environmental impacts such as carbon emissions, energy use, or sustainability.",exclude,"The paper analyzes HPC user behavior and resource usage patterns for outreach and support, but it does not address environmental impacts or methods for measuring/predicting them.",error,"Error when talking to Gemini API Full report available at: /var/folders/51/jprn1_6j1ysbtv0m638dh5g00000gn/T/gemini-client-error-Turn.run-sendMessageStream-2026-04-11T11-17-41-065Z.json TerminalQuotaError: You have exhausted your capacity on this model. Your quota will reset after 9h10m11s.
    at cl",,
283,no,exclude,"EC1 — the paper is about K-12 CS education partnerships and curriculum development, with no connection to HPC environmental impacts.",exclude,"The paper is about computer science education program implementation and uses ""sustainable"" in an educational sense, not about environmental impacts of HPC.",exclude,"The paper focuses on computer science education and partnerships, and is entirely unrelated to the environmental impacts of high-performance computing.",,
284,no,exclude,"The paper focuses on GPU/FPGA performance analysis and programming toolchains without addressing environmental impacts such as carbon emissions, energy sustainability, or other ecological concerns.",exclude,"The abstract focuses on accelerator performance, programming toolchains, and resource usage without addressing environmental impacts of HPC beyond general low-power/performance concerns.",error,"Error when talking to Gemini API Full report available at: /var/folders/51/jprn1_6j1ysbtv0m638dh5g00000gn/T/gemini-client-error-Turn.run-sendMessageStream-2026-04-11T11-17-44-554Z.json TerminalQuotaError: You have exhausted your capacity on this model. Your quota will reset after 9h10m8s.
    at cla",,
285,no,exclude,"EC1 — the paper is about provenance tracking in scientific workflows, with no connection to environmental impacts of HPC.",exclude,"The paper concerns provenance tracing and workflow/resource-query support in an HPC-related system, but it does not address environmental impacts or methods for measuring/predicting them.",error,"Error when talking to Gemini API Full report available at: /var/folders/51/jprn1_6j1ysbtv0m638dh5g00000gn/T/gemini-client-error-Turn.run-sendMessageStream-2026-04-11T11-17-47-386Z.json TerminalQuotaError: You have exhausted your capacity on this model. Your quota will reset after 9h10m5s.
    at cla",,
286,no,exclude,"The paper focuses on computational biology infrastructure sustainability (scalability, storage) without addressing environmental impacts such as carbon emissions, energy-environment connections, or resource depletion.",exclude,"The abstract uses “sustainable” in the sense of maintaining a national computational service and scaling infrastructure, not in the sense of environmental impacts of HPC.",error,"Error when talking to Gemini API Full report available at: /var/folders/51/jprn1_6j1ysbtv0m638dh5g00000gn/T/gemini-client-error-Turn.run-sendMessageStream-2026-04-11T11-17-48-937Z.json TerminalQuotaError: You have exhausted your capacity on this model. Your quota will reset after 9h10m4s.
    at cla",,
287,no,exclude,"This paper focuses on MPI communication optimization for multi-core systems without addressing environmental impacts such as carbon emissions, water use, or material depletion.",exclude,The paper is about improving MPI communication performance on multi-core HPC systems and does not address environmental impacts or methods for measuring/predicting them.,error,"Error when talking to Gemini API Full report available at: /var/folders/51/jprn1_6j1ysbtv0m638dh5g00000gn/T/gemini-client-error-Turn.run-sendMessageStream-2026-04-11T11-17-52-488Z.json TerminalQuotaError: You have exhausted your capacity on this model. Your quota will reset after 9h10m0s.
    at cla",,
288,no,exclude,"This paper focuses on network topology optimization and task placement for performance in HPC dragonfly networks, with no connection to environmental impacts such as energy consumption, carbon emissions, or resource use.",exclude,"The paper studies HPC network communication performance and task placement, with no discussion of environmental impacts or methods for assessing them.",error,"Error when talking to Gemini API Full report available at: /var/folders/51/jprn1_6j1ysbtv0m638dh5g00000gn/T/gemini-client-error-Turn.run-sendMessageStream-2026-04-11T11-17-55-111Z.json TerminalQuotaError: You have exhausted your capacity on this model. Your quota will reset after 9h9m57s.
    at cla",,
289,no,exclude,"This paper addresses OS jitter and memory management in HPC for performance optimization, with no connection to environmental impacts such as energy consumption, carbon emissions, or resource depletion.",exclude,The paper addresses operating system performance jitter in HPC and does not discuss environmental impacts or methods for measuring/predicting them.,error,"Error when talking to Gemini API Full report available at: /var/folders/51/jprn1_6j1ysbtv0m638dh5g00000gn/T/gemini-client-error-Turn.run-sendMessageStream-2026-04-11T11-17-58-424Z.json TerminalQuotaError: You have exhausted your capacity on this model. Your quota will reset after 9h9m54s.
    at cla",,
290,yes,include,"The paper addresses carbon footprint reduction in HPC data centers by using clean fuel-based heterogeneous power supplies, directly connecting to IC1/IC2 regarding environmental impacts of HPC systems.",include,"The paper is in the HPC context and explicitly connects data center power design to reducing carbon footprint, so it addresses an environmental impact beyond energy alone.",error,"Error when talking to Gemini API Full report available at: /var/folders/51/jprn1_6j1ysbtv0m638dh5g00000gn/T/gemini-client-error-Turn.run-sendMessageStream-2026-04-11T11-17-58-843Z.json TerminalQuotaError: You have exhausted your capacity on this model. Your quota will reset after 9h9m54s.
    at cla",exclude,EC1
291,no,exclude,"EC1 — the paper focuses on urban analytics and resilient cities using HPC as a computational tool, with no discussion of HPC's environmental impacts.",exclude,"The paper uses high-performance computing as an enabling technology for urban analytics and sustainable cities, but it does not address environmental impacts of HPC systems or methods to measure/predict them.",error,"Error when talking to Gemini API Full report available at: /var/folders/51/jprn1_6j1ysbtv0m638dh5g00000gn/T/gemini-client-error-Turn.run-sendMessageStream-2026-04-11T11-18-01-839Z.json TerminalQuotaError: You have exhausted your capacity on this model. Your quota will reset after 9h9m51s.
    at cla",,
292,yes,exclude,"The paper focuses on energy-efficient processor design for HPC without connecting energy consumption to broader environmental impacts such as carbon emissions, water use, or material depletion.",exclude,The paper focuses on HPC energy efficiency and power/performance-oriented microarchitectural design exploration without addressing broader environmental impacts or methods to measure/predict them.,error,"Error when talking to Gemini API Full report available at: /var/folders/51/jprn1_6j1ysbtv0m638dh5g00000gn/T/gemini-client-error-Turn.run-sendMessageStream-2026-04-11T11-18-05-347Z.json TerminalQuotaError: You have exhausted your capacity on this model. Your quota will reset after 9h9m47s.
    at cla",exclude,EC1
293,no,include,"The paper addresses power consumption management in HPC systems, which directly relates to environmental sustainability of supercomputers.",exclude,The paper studies node-level power capping and performance in HPC systems but does not address broader environmental impacts beyond energy/power consumption.,error,"Error when talking to Gemini API Full report available at: /var/folders/51/jprn1_6j1ysbtv0m638dh5g00000gn/T/gemini-client-error-Turn.run-sendMessageStream-2026-04-11T11-18-08-395Z.json TerminalQuotaError: You have exhausted your capacity on this model. Your quota will reset after 9h9m44s.
    at cla",,
294,no,exclude,EC1 — the paper focuses on automatic memory/storage optimization using the polyhedral model and has no connection to environmental impacts of HPC.,exclude,The paper is about compiler-based storage and memory footprint optimization for HPC-related computations and does not address environmental impacts or methods to assess them.,error,"Error when talking to Gemini API Full report available at: /var/folders/51/jprn1_6j1ysbtv0m638dh5g00000gn/T/gemini-client-error-Turn.run-sendMessageStream-2026-04-11T11-18-11-790Z.json TerminalQuotaError: You have exhausted your capacity on this model. Your quota will reset after 9h9m41s.
    at cla",,
295,no,exclude,"EC1/EC2 — the paper focuses on memory/storage optimization for cache performance, with no connection to environmental impacts such as carbon emissions, energy, or resource use in HPC systems.",exclude,"The paper is about array storage and memory optimization for performance in HPC-related applications, with no discussion of environmental impacts or methods to measure/predict them.",error,"Error when talking to Gemini API Full report available at: /var/folders/51/jprn1_6j1ysbtv0m638dh5g00000gn/T/gemini-client-error-Turn.run-sendMessageStream-2026-04-11T11-18-15-262Z.json TerminalQuotaError: You have exhausted your capacity on this model. Your quota will reset after 9h9m37s.
    at cla",,
296,no,include,"The paper addresses energy consumption reduction in Hadoop/HPC parallel computing systems, directly targeting sustainability and power savings in distributed computing environments.",exclude,"The paper focuses on reducing Hadoop energy/power consumption and performance, without addressing broader environmental impacts of HPC such as carbon emissions, water use, or materials.",error,"Error when talking to Gemini API Full report available at: /var/folders/51/jprn1_6j1ysbtv0m638dh5g00000gn/T/gemini-client-error-Turn.run-sendMessageStream-2026-04-11T11-18-18-674Z.json TerminalQuotaError: You have exhausted your capacity on this model. Your quota will reset after 9h9m34s.
    at cla",,
297,no,exclude,"EC1/EC2 — the paper focuses on SMT thread contention and performance optimization for HPC, with no connection to environmental impacts such as carbon emissions, water use, or energy consumption in an environmental context.",exclude,The paper focuses on SMT-driven performance optimization for HPC applications and does not address environmental impacts or methods to measure/predict them.,error,"Error when talking to Gemini API Full report available at: /var/folders/51/jprn1_6j1ysbtv0m638dh5g00000gn/T/gemini-client-error-Turn.run-sendMessageStream-2026-04-11T11-18-21-723Z.json TerminalQuotaError: You have exhausted your capacity on this model. Your quota will reset after 9h9m31s.
    at cla",,
298,no,exclude,"EC1 — the paper focuses on cluster resource management and scheduling policies in enterprise data centers, with no connection to environmental impacts of HPC.",exclude,"The paper focuses on enterprise cluster resource management and scheduling in Mesos, without addressing environmental impacts of HPC or methodologies for measuring/predicting them.",error,"Error when talking to Gemini API Full report available at: /var/folders/51/jprn1_6j1ysbtv0m638dh5g00000gn/T/gemini-client-error-Turn.run-sendMessageStream-2026-04-11T11-18-24-880Z.json TerminalQuotaError: You have exhausted your capacity on this model. Your quota will reset after 9h9m28s.
    at cla",,
299,no,exclude,"EC1/EC2 — the paper focuses on IoT distributed data analysis and only briefly mentions energy/sustainability in passing, without addressing environmental impacts of HPC systems.",exclude,"The paper is about distributed data analysis in IoT and only mentions HPC as a computing paradigm, without addressing environmental impacts of HPC systems or methods to assess them.",error,"Error when talking to Gemini API Full report available at: /var/folders/51/jprn1_6j1ysbtv0m638dh5g00000gn/T/gemini-client-error-Turn.run-sendMessageStream-2026-04-11T11-18-26-253Z.json TerminalQuotaError: You have exhausted your capacity on this model. Your quota will reset after 9h9m26s.
    at cla",,
300,yes,include,"The paper addresses carbon footprint minimization in HPC through energy-aware scheduling, connecting energy consumption to broader environmental impact (IC1/IC2).",include,"The paper is in the HPC context and explicitly links scheduling to reducing carbon footprint, so it addresses an environmental impact beyond energy alone.",error,"Error when talking to Gemini API Full report available at: /var/folders/51/jprn1_6j1ysbtv0m638dh5g00000gn/T/gemini-client-error-Turn.run-sendMessageStream-2026-04-11T11-18-29-361Z.json TerminalQuotaError: You have exhausted your capacity on this model. Your quota will reset after 9h9m23s.
    at cla",exclude,EC1
301,yes,exclude,"The paper focuses on FPGA bandwidth compression for HPC performance optimization without addressing any environmental impacts such as energy consumption, carbon emissions, water use, or material depletion.",exclude,The paper focuses on FPGA memory bandwidth compression and performance optimization in HPC without addressing environmental impacts or methods to measure/predict them.,error,"Error when talking to Gemini API Full report available at: /var/folders/51/jprn1_6j1ysbtv0m638dh5g00000gn/T/gemini-client-error-Turn.run-sendMessageStream-2026-04-11T11-18-33-179Z.json TerminalQuotaError: You have exhausted your capacity on this model. Your quota will reset after 9h9m19s.
    at cla",exclude,EC1
302,no,exclude,"EC2 applies — the paper focuses on energy efficiency of FPGA accelerators for CNN inference without connecting to broader environmental impacts like carbon emissions, water use, or material depletion.",exclude,"The paper focuses on FPGA acceleration and energy-efficient performance for CNNs without addressing environmental impacts of HPC beyond energy efficiency, so it falls under EC1 and EC2.",error,"Error when talking to Gemini API Full report available at: /var/folders/51/jprn1_6j1ysbtv0m638dh5g00000gn/T/gemini-client-error-Turn.run-sendMessageStream-2026-04-11T11-18-36-864Z.json TerminalQuotaError: You have exhausted your capacity on this model. Your quota will reset after 9h9m16s.
    at cla",,
303,yes,exclude,EC1 — the paper is about a gateway for novice HPC users and does not address environmental impacts or related methodologies.,exclude,"The paper is about improving usability for new HPC users and mentions sustainability only in the sense of software/community longevity, not environmental impacts of HPC.",error,"Error when talking to Gemini API Full report available at: /var/folders/51/jprn1_6j1ysbtv0m638dh5g00000gn/T/gemini-client-error-Turn.run-sendMessageStream-2026-04-11T11-18-39-389Z.json TerminalQuotaError: You have exhausted your capacity on this model. Your quota will reset after 9h9m13s.
    at cla",exclude,EC1
304,yes,exclude,EC1 — the paper is about implementing interactive HPC gateways using Jupyter/JupyterHub and does not address environmental impacts or related methodologies.,exclude,"The paper is about interactive HPC infrastructure and software sustainability in the sense of maintainability/reusability, not environmental impacts or methods to measure/predict them.",error,"Error when talking to Gemini API Full report available at: /var/folders/51/jprn1_6j1ysbtv0m638dh5g00000gn/T/gemini-client-error-Turn.run-sendMessageStream-2026-04-11T11-18-42-830Z.json TerminalQuotaError: You have exhausted your capacity on this model. Your quota will reset after 9h9m10s.
    at cla",exclude,EC1
305,no,exclude,"EC1 — the paper is about HPC workforce development and training programs, with no connection to environmental impacts.",exclude,"The paper is about HPC workforce development, user support, and training infrastructure, with no discussion of environmental impacts or methods to assess them.",error,"Error when talking to Gemini API Full report available at: /var/folders/51/jprn1_6j1ysbtv0m638dh5g00000gn/T/gemini-client-error-Turn.run-sendMessageStream-2026-04-11T11-18-45-796Z.json TerminalQuotaError: You have exhausted your capacity on this model. Your quota will reset after 9h9m7s.
    at clas",,
306,yes,exclude,"The paper focuses on FPGA-based hardware accelerators for HPC without addressing environmental impacts such as energy consumption, carbon emissions, or resource use.",exclude,"The paper discusses FPGA/customized architectures and accelerators for HPC performance, with no indication that it addresses environmental impacts beyond computing performance.",error,"Error when talking to Gemini API Full report available at: /var/folders/51/jprn1_6j1ysbtv0m638dh5g00000gn/T/gemini-client-error-Turn.run-sendMessageStream-2026-04-11T11-18-49-404Z.json TerminalQuotaError: You have exhausted your capacity on this model. Your quota will reset after 9h9m3s.
    at clas",exclude,EC1
307,yes,exclude,"The paper surveys HPC cloud taxonomy and research challenges without addressing environmental impacts such as carbon emissions, water use, or material depletion, focusing instead on performance, cost, and sustainability of business models.",exclude,"The paper discusses HPC cloud taxonomy, performance, pricing, and business sustainability rather than environmental impacts or methods for measuring them in HPC.",error,"Error when talking to Gemini API Full report available at: /var/folders/51/jprn1_6j1ysbtv0m638dh5g00000gn/T/gemini-client-error-Turn.run-sendMessageStream-2026-04-11T11-18-50-792Z.json TerminalQuotaError: You have exhausted your capacity on this model. Your quota will reset after 9h9m2s.
    at clas",exclude,EC1
308,no,exclude,EC1 — the paper addresses checkpointing and fault tolerance in HPC without connecting to any environmental impact.,exclude,"The paper concerns checkpointing, fault tolerance, and I/O efficiency in HPC applications without addressing environmental impacts or methodologies for measuring/predicting them.",error,"Error when talking to Gemini API Full report available at: /var/folders/51/jprn1_6j1ysbtv0m638dh5g00000gn/T/gemini-client-error-Turn.run-sendMessageStream-2026-04-11T11-18-53-836Z.json TerminalQuotaError: You have exhausted your capacity on this model. Your quota will reset after 9h8m59s.
    at cla",,
309,yes,include,"The paper addresses resource efficiency in HPC systems, which connects to environmental impact through reduced unnecessary resource consumption and energy savings.",exclude,"The paper focuses on improving HPC job scheduling and reducing wasted compute time, but it does not address environmental impacts or methods for measuring/predicting them.",error,"Error when talking to Gemini API Full report available at: /var/folders/51/jprn1_6j1ysbtv0m638dh5g00000gn/T/gemini-client-error-Turn.run-sendMessageStream-2026-04-11T11-18-56-881Z.json TerminalQuotaError: You have exhausted your capacity on this model. Your quota will reset after 9h8m56s.
    at cla",exclude,EC1
310,no,exclude,"This is a conference proceedings overview with no focus on environmental impacts of HPC; EC1 applies as the content covers VLSI, IoT, and AI hardware topics without addressing environmental impacts in the HPC context.",exclude,"This is a conference proceedings overview rather than a study on environmental impacts of HPC, so it does not meet IC1 or IC2 and falls under EC1.",error,"Error when talking to Gemini API Full report available at: /var/folders/51/jprn1_6j1ysbtv0m638dh5g00000gn/T/gemini-client-error-Turn.run-sendMessageStream-2026-04-11T11-18-58-687Z.json TerminalQuotaError: You have exhausted your capacity on this model. Your quota will reset after 9h8m54s.
    at cla",,
311,yes,exclude,"The paper focuses on the interplay between HPC and Industry 4.0 (digitization, manufacturing challenges) without addressing environmental impacts or related methodologies.",exclude,"The abstract discusses Industry 4.0, sustainable manufacturing, and HPC challenges in general, but it does not address environmental impacts of HPC or methods to measure or predict them.",error,"Error when talking to Gemini API Full report available at: /var/folders/51/jprn1_6j1ysbtv0m638dh5g00000gn/T/gemini-client-error-Turn.run-sendMessageStream-2026-04-11T11-19-01-379Z.json TerminalQuotaError: You have exhausted your capacity on this model. Your quota will reset after 9h8m51s.
    at cla",exclude,EC1
312,no,include,"The paper addresses sustainability in cloud/HPC computing contexts, touching on environmental impact dimensions relevant to IC1/IC2.",exclude,"The paper is a broad cloud computing manifesto that only mentions sustainability generically and HPC as an application area, without addressing environmental impacts of HPC or methods to assess them.",error,"Error when talking to Gemini API Full report available at: /var/folders/51/jprn1_6j1ysbtv0m638dh5g00000gn/T/gemini-client-error-Turn.run-sendMessageStream-2026-04-11T11-19-03-812Z.json TerminalQuotaError: You have exhausted your capacity on this model. Your quota will reset after 9h8m49s.
    at cla",,
313,yes,include,"The paper presents a runtime system for reducing energy consumption in HPC systems, directly addressing power efficiency in the context of exascale computing environmental constraints.",exclude,The paper is about reducing power and energy consumption in HPC systems without addressing broader environmental impacts or methods for assessing them.,error,"Error when talking to Gemini API Full report available at: /var/folders/51/jprn1_6j1ysbtv0m638dh5g00000gn/T/gemini-client-error-Turn.run-sendMessageStream-2026-04-11T11-19-06-254Z.json TerminalQuotaError: You have exhausted your capacity on this model. Your quota will reset after 9h8m46s.
    at cla",exclude,EC2
314,no,exclude,"EC1 — the paper addresses HPC optimization techniques (parallelization, vectorization, memory access) for quantum chemistry computations, but does not address any environmental impacts of HPC systems.",exclude,"The paper is about improving computational performance and memory usage in quantum chemistry calculations, with no discussion of environmental impacts or methods to assess them in HPC.",error,"Error when talking to Gemini API Full report available at: /var/folders/51/jprn1_6j1ysbtv0m638dh5g00000gn/T/gemini-client-error-Turn.run-sendMessageStream-2026-04-11T11-19-09-382Z.json TerminalQuotaError: You have exhausted your capacity on this model. Your quota will reset after 9h8m43s.
    at cla",,
315,no,exclude,This is a workshop proceedings introduction with no content addressing environmental impacts of HPC systems.,exclude,"The abstract is a workshop proceedings introduction about scientific cloud computing and converged infrastructure, and it does not address environmental impacts of HPC or methods to measure/predict them.",error,"Error when talking to Gemini API Full report available at: /var/folders/51/jprn1_6j1ysbtv0m638dh5g00000gn/T/gemini-client-error-Turn.run-sendMessageStream-2026-04-11T11-19-12-076Z.json TerminalQuotaError: You have exhausted your capacity on this model. Your quota will reset after 9h8m40s.
    at cla",,
316,yes,exclude,"EC1/EC2 — the paper focuses on HPC performance optimization (parallel scaling, I/O throughput) with no mention of environmental impacts such as energy consumption, carbon emissions, or resource use.",exclude,"The paper focuses on performance, scalability, memory footprint, and I/O optimisation of an HPC CFD code without addressing environmental impacts or methods to measure/predict them.",error,"Error when talking to Gemini API Full report available at: /var/folders/51/jprn1_6j1ysbtv0m638dh5g00000gn/T/gemini-client-error-Turn.run-sendMessageStream-2026-04-11T11-19-15-619Z.json TerminalQuotaError: You have exhausted your capacity on this model. Your quota will reset after 9h8m37s.
    at cla",exclude,EC1
317,no,exclude,"EC1/EC2 — the paper is about automated performance benchmarking and software sustainability for HPC software, with no connection to environmental impacts such as carbon emissions, energy consumption in relation to broader environmental concerns, water use, or material depletion.",exclude,"The paper is about automated benchmarking, performance reproducibility, and software sustainability in HPC software, without addressing environmental impacts or methods to measure/predict them.",error,"Error when talking to Gemini API Full report available at: /var/folders/51/jprn1_6j1ysbtv0m638dh5g00000gn/T/gemini-client-error-Turn.run-sendMessageStream-2026-04-11T11-19-17-085Z.json TerminalQuotaError: You have exhausted your capacity on this model. Your quota will reset after 9h8m35s.
    at cla",,
318,no,exclude,"EC1/EC2 — the paper presents a parallel numerical algorithm (polar decomposition) optimized for distributed HPC systems, with no connection to environmental impacts such as carbon emissions, energy efficiency, or resource use.",exclude,The paper focuses on parallel algorithm performance on supercomputers and does not address environmental impacts or methods for measuring/predicting them in HPC.,error,"Error when talking to Gemini API Full report available at: /var/folders/51/jprn1_6j1ysbtv0m638dh5g00000gn/T/gemini-client-error-Turn.run-sendMessageStream-2026-04-11T11-19-19-574Z.json TerminalQuotaError: You have exhausted your capacity on this model. Your quota will reset after 9h8m33s.
    at cla",,
319,yes,include,"The abstract discusses making a global distributed computing system sustainable, which connects to environmental impacts in the HPC/large-scale computing context.",include,The abstract explicitly discusses making a supercomputer sustainable and is ambiguous enough about environmental relevance that it should be included at screening.,error,"Error when talking to Gemini API Full report available at: /var/folders/51/jprn1_6j1ysbtv0m638dh5g00000gn/T/gemini-client-error-Turn.run-sendMessageStream-2026-04-11T11-19-23-346Z.json TerminalQuotaError: You have exhausted your capacity on this model. Your quota will reset after 9h8m29s.
    at cla",exclude,EC1
